 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.29998929e+00 
 1.00000000e-01  1.00000000e-01  1.00000000e-01  3.29998928e+00 
 2.00000000e-01  2.00000000e-01  2.00000000e-01  3.29998927e+00 
 3.00000000e-01  3.00000000e-01  3.00000000e-01  3.29998920e+00 
 4.00000000e-01  4.00000000e-01  4.00000000e-01  3.29998857e+00 
 5.00000000e-01  5.00000000e-01  5.00000000e-01  3.29998316e+00 
 6.00000000e-01  6.00000000e-01  6.00000000e-01  3.29993656e+00 
 7.00000000e-01  7.00000000e-01  7.00000000e-01  3.29953653e+00 
 8.00000000e-01  8.00000000e-01  8.00000000e-01  3.29613038e+00 
 9.00000000e-01  9.00000000e-01  9.00000000e-01  3.26842215e+00 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  3.09580454e+00 
 1.10000000e+00  1.10000000e+00  1.10000000e+00  2.56682369e+00 
 1.20000000e+00  1.20000000e+00  1.20000000e+00  1.73456329e+00 
 1.30000000e+00  1.30000000e+00  1.30000000e+00  7.58779927e-01 
 1.40000000e+00  1.40000000e+00  1.40000000e+00  1.87840708e-01 
 1.50000000e+00  1.50000000e+00  1.50000000e+00  1.57673370e-01 
 1.60000000e+00  1.60000000e+00  1.60000000e+00  1.43877839e-01 
 1.70000000e+00  1.70000000e+00  1.70000000e+00  1.34812541e-01 
 1.80000000e+00  1.80000000e+00  1.80000000e+00  1.27982698e-01 
 1.90000000e+00  1.90000000e+00  1.90000000e+00  1.22692563e-01 
 2.00000000e+00  2.00000000e+00  2.00000000e+00  1.18299336e-01 
 2.10000000e+00  2.10000000e+00  2.10000000e+00  1.14537368e-01 
 2.20000000e+00  2.20000000e+00  2.20000000e+00  1.11260666e-01 
 2.30000000e+00  2.30000000e+00  2.30000000e+00  1.08363044e-01 
 2.40000000e+00  2.40000000e+00  2.40000000e+00  1.05768507e-01 
 2.50000000e+00  2.50000000e+00  2.50000000e+00  1.03421775e-01 
 2.60000000e+00  2.60000000e+00  2.60000000e+00  1.01281350e-01 
 2.70000000e+00  2.70000000e+00  2.70000000e+00  9.93152911e-02 
 2.80000000e+00  2.80000000e+00  2.80000000e+00  9.74985006e-02 
 2.90000000e+00  2.90000000e+00  2.90000000e+00  9.58109055e-02 
 3.00000000e+00  3.00000000e+00  3.00000000e+00  9.42362043e-02 
 3.10000000e+00  3.10000000e+00  3.10000000e+00  9.27609798e-02 
 3.20000000e+00  3.20000000e+00  3.20000000e+00  9.13740581e-02 
 3.30000000e+00  3.30000000e+00  3.30000000e+00  9.00660362e-02 
 3.40000000e+00  3.40000000e+00  3.40000000e+00  8.88289273e-02 
 3.50000000e+00  3.50000000e+00  3.50000000e+00  8.76558904e-02 
