
Note: No compatibility mode selected!


Circuit: TB1: Blink Code Read Verification

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
Operating point simulation skipped by 'uic',
  now using transient initial conditions.

No. of Data Rows : 50238

  Measurements for Transient Analysis

v_mcu_idle          =  6.287411e-02 from=  0.000000e+00 to=  4.000989e-01
v_mcu_blink1_peak   =  3.309370e+00 at=  5.002470e-01
v_mcu_blink2_peak   =  3.299989e+00 at=  1.699823e+00
v_mcu_blink3_peak   =  3.308658e+00 at=  2.100233e+00
t_rise              =  3.086530e-05 targ=  5.002143e-01 trig=  5.001835e-01
t_fall              =  -9.017592e-01 targ=  1.009624e-06 trig=  9.017603e-01


The file "results/tb1_blink_read.ps" may be printed on a postscript printer.
                       TB1: Blink Code Read Verification
                       Transient Analysis  Sat Mar 21 23:09:37  2026
--------------------------------------------------------------------------------
Index   time            v(diag_pin)     v(mcu_gpio)     
--------------------------------------------------------------------------------
0	1.000000e-06	6.360450e+00	3.382755e-01	
1	1.015161e-06	6.450347e+00	3.233190e-01	
2	1.045482e-06	6.617761e+00	2.867322e-01	
3	1.078382e-06	6.773457e+00	2.437504e-01	
4	1.116054e-06	6.923584e+00	1.971143e-01	
5	1.155309e-06	7.053189e+00	1.532808e-01	
6	1.223435e-06	7.227518e+00	1.114675e-01	
7	1.308588e-06	7.377848e+00	9.426734e-02	
8	1.425804e-06	7.505214e+00	8.737891e-02	
9	1.560064e-06	7.583576e+00	8.417266e-02	
10	1.722877e-06	7.629235e+00	8.146571e-02	
11	1.895049e-06	7.649689e+00	7.905549e-02	
12	2.170804e-06	7.661018e+00	7.606907e-02	
13	2.457461e-06	7.663274e+00	7.365907e-02	
14	3.030775e-06	7.663836e+00	7.028552e-02	
15	3.805029e-06	7.663731e+00	6.753836e-02	
16	5.353536e-06	7.663770e+00	6.481035e-02	
17	8.450551e-06	7.663744e+00	6.308880e-02	
18	1.204384e-05	7.663764e+00	6.290078e-02	
19	1.754694e-05	7.663748e+00	6.285556e-02	
20	2.578515e-05	7.663762e+00	6.288853e-02	
21	4.226158e-05	7.663749e+00	6.285943e-02	
22	7.521443e-05	7.663762e+00	6.288812e-02	
23	1.000000e-04	7.663749e+00	6.285978e-02	
