 1.00000000e-06  6.36044958e+00  1.00000000e-06  3.38275543e-01 
 1.01516065e-06  6.45034745e+00  1.01516065e-06  3.23318988e-01 
 1.04548195e-06  6.61776115e+00  1.04548195e-06  2.86732217e-01 
 1.07838216e-06  6.77345683e+00  1.07838216e-06  2.43750431e-01 
 1.11605425e-06  6.92358416e+00  1.11605425e-06  1.97114312e-01 
 1.15530879e-06  7.05318922e+00  1.15530879e-06  1.53280837e-01 
 1.22343523e-06  7.22751807e+00  1.22343523e-06  1.11467497e-01 
 1.30858813e-06  7.37784788e+00  1.30858813e-06  9.42673374e-02 
 1.42580396e-06  7.50521411e+00  1.42580396e-06  8.73789069e-02 
 1.56006365e-06  7.58357572e+00  1.56006365e-06  8.41726577e-02 
 1.72287688e-06  7.62923514e+00  1.72287688e-06  8.14657054e-02 
 1.89504915e-06  7.64968875e+00  1.89504915e-06  7.90554909e-02 
 2.17080418e-06  7.66101840e+00  2.17080418e-06  7.60690713e-02 
 2.45746115e-06  7.66327420e+00  2.45746115e-06  7.36590729e-02 
 3.03077509e-06  7.66383598e+00  3.03077509e-06  7.02855156e-02 
 3.80502880e-06  7.66373066e+00  3.80502880e-06  6.75383634e-02 
 5.35353621e-06  7.66376993e+00  5.35353621e-06  6.48103522e-02 
 8.45055104e-06  7.66374443e+00  8.45055104e-06  6.30887960e-02 
 1.20438423e-05  7.66376429e+00  1.20438423e-05  6.29007847e-02 
 1.75469405e-05  7.66374792e+00  1.75469405e-05  6.28555596e-02 
 2.57851532e-05  7.66376236e+00  2.57851532e-05  6.28885328e-02 
 4.22615787e-05  7.66374897e+00  4.22615787e-05  6.28594264e-02 
 7.52144296e-05  7.66376186e+00  7.52144296e-05  6.28881200e-02 
 1.00000000e-04  7.66374934e+00  1.00000000e-04  6.28597830e-02 
 1.06590570e-04  7.66375531e+00  1.06590570e-04  6.28738077e-02 
 1.19771711e-04  7.66375567e+00  1.19771711e-04  6.28739977e-02 
 1.46133991e-04  7.66375532e+00  1.46133991e-04  6.28738461e-02 
 1.98858553e-04  7.66375566e+00  1.98858553e-04  6.28739930e-02 
 2.98858553e-04  7.66375533e+00  2.98858553e-04  6.28738509e-02 
 3.98858553e-04  7.66375566e+00  3.98858553e-04  6.28739900e-02 
 4.98858553e-04  7.66375533e+00  4.98858553e-04  6.28738537e-02 
 5.98858553e-04  7.66375565e+00  5.98858553e-04  6.28739874e-02 
 6.98858553e-04  7.66375533e+00  6.98858553e-04  6.28738560e-02 
 7.98858553e-04  7.66375565e+00  7.98858553e-04  6.28739852e-02 
 8.98858553e-04  7.66375533e+00  8.98858553e-04  6.28738581e-02 
 9.98858553e-04  7.66375565e+00  9.98858553e-04  6.28739833e-02 
 1.09885855e-03  7.66375534e+00  1.09885855e-03  6.28738599e-02 
 1.19885855e-03  7.66375565e+00  1.19885855e-03  6.28739817e-02 
 1.29885855e-03  7.66375534e+00  1.29885855e-03  6.28738614e-02 
 1.39885855e-03  7.66375564e+00  1.39885855e-03  6.28739802e-02 
 1.49885855e-03  7.66375534e+00  1.49885855e-03  6.28738628e-02 
