 1.00000000e-08  1.20000000e+01  1.00000000e-08  1.19998764e+01  1.00000000e-08  6.76312113e-02  1.00000000e-08  0.00000000e+00  1.00000000e-08  1.19999799e+01 
 1.02864714e-08  1.20000000e+01  1.02864714e-08  1.19998754e+01  1.02864714e-08  6.95678908e-02  1.02864714e-08  0.00000000e+00  1.02864714e-08  1.19999794e+01 
 1.08594141e-08  1.20000000e+01  1.08594141e-08  1.19998748e+01  1.08594141e-08  7.34397283e-02  1.08594141e-08  0.00000000e+00  1.08594141e-08  1.19999782e+01 
 1.20052995e-08  1.20000000e+01  1.20052995e-08  1.19998750e+01  1.20052995e-08  8.11742820e-02  1.20052995e-08  0.00000000e+00  1.20052995e-08  1.19999759e+01 
 1.42970704e-08  1.20000000e+01  1.42970704e-08  1.19998748e+01  1.42970704e-08  9.66069755e-02  1.42970704e-08  0.00000000e+00  1.42970704e-08  1.19999713e+01 
 1.88806121e-08  1.20000000e+01  1.88806121e-08  1.19998748e+01  1.88806121e-08  1.27327278e-01  1.88806121e-08  0.00000000e+00  1.88806121e-08  1.19999621e+01 
 2.80476955e-08  1.20000000e+01  2.80476955e-08  1.19998744e+01  2.80476955e-08  1.88192074e-01  2.80476955e-08  0.00000000e+00  2.80476955e-08  1.19999437e+01 
 4.63818624e-08  1.20000000e+01  4.63818624e-08  1.19998741e+01  4.63818624e-08  3.07654189e-01  4.63818624e-08  0.00000000e+00  4.63818624e-08  1.19999070e+01 
 8.30501961e-08  1.20000000e+01  8.30501961e-08  1.19998728e+01  8.30501961e-08  5.37786630e-01  8.30501961e-08  0.00000000e+00  8.30501961e-08  1.19998337e+01 
 1.56386864e-07  1.20000000e+01  1.56386864e-07  1.19998701e+01  1.56386864e-07  9.64989480e-01  1.56386864e-07  0.00000000e+00  1.56386864e-07  1.19996875e+01 
 2.25166056e-07  1.20000000e+01  2.25166056e-07  1.19998668e+01  2.25166056e-07  1.32835195e+00  2.25166056e-07  3.32185335e-02  2.25166056e-07  1.19995510e+01 
 2.90500240e-07  1.20000000e+01  2.90500240e-07  1.19998634e+01  2.90500240e-07  1.64312787e+00  2.90500240e-07  1.31356458e-01  2.90500240e-07  1.19994219e+01 
